seasonNumber,episodeNumber,averageRating,viewers
1,1,8.4,21.5
1,2,8.1,20.2
1,3,8.2,19.5
1,4,8.1,19.7
1,5,8.5,18.6
1,6,8.2,18.2
1,7,9,23.5
1,8,8.1,21.1
1,9,8.2,23.1
1,10,8.1,19.9
1,11,8.2,26.6
1,12,8.2,24
1,13,8.7,25.8
1,14,8.3,23.8
1,15,8.3,24.8
1,16,8.2,26.1
1,17,8.5,30.5
1,18,8.8,30.4
1,19,8.1,29.4
1,20,7.9,30
1,21,7.9,28.4
1,22,8.3,29.9
1,23,8.7,28.7
1,24,8.9,31.3
2,1,8.5,32.1
2,2,8.2,29.8
2,3,8.4,30.2
2,4,8,28.1
2,5,8.3,28.3
2,6,8.6,30.2
2,7,9,30.5
2,8,8.5,32.9
2,9,8,27.8
2,10,8.1,32.2
2,11,8.1,31.6
2,12,8.6,52.9
2,13,8.8,52.9
2,14,9.4,33.6
2,15,8.9,32.9
2,16,8.6,31.1
2,17,8.3,30.2
2,18,8.5,30.1
2,19,8.6,31.2
2,20,8.2,27.4
2,21,8.2,24.7
2,22,9,25.5
2,23,8.1,26.1
2,24,8.2,29
3,1,8.4,26.8
3,2,9,26.7
3,3,8.1,25.2
3,4,8.1,26.1
3,5,8.2,23.3
3,6,9.1,23.3
3,7,8.3,27.4
3,8,8.4,28.7
3,9,9,29.3
3,10,8.2,25.1
3,11,8.6,29.8
3,12,8.2,29.6
3,13,8.2,28
3,14,7.9,28.9
3,15,8.6,27.3
3,16,9.1,28.3
3,17,8.3,25.8
3,18,8.4,28.1
3,19,8.2,23.7
3,20,8.1,24.4
3,21,8.8,23.2
3,22,8.3,22.6
3,23,8.1,24.2
3,24,8.2,23.1
3,25,8.9,28.8
4,1,9.1,29.4
4,2,8.1,25.5
4,3,8.5,24
4,4,8.2,24.3
4,5,8.4,24.4
4,6,8.5,25.7
4,7,8.7,26.4
4,8,9.1,26.8
4,9,8,23.9
4,10,8.1,23.2
4,11,8.5,23.7
4,12,9.5,27.1
4,13,8.2,25.3
4,14,8.3,25.1
4,15,8.5,24.4
4,16,8.2,23.1
4,17,8.6,23.2
4,18,8.3,21.7
4,19,8.7,21.8
4,20,8.5,21.9
4,21,7.2,21.5
4,22,8.5,23.2
4,23,8.7,31.6
4,24,9.2,31.6
5,1,8.9,31.1
5,2,9,25.4
5,3,8.8,26.8
5,4,8.3,24.1
5,5,8.8,25.9
5,6,8.1,25
5,7,8.4,24.4
5,8,9.2,23.9
5,9,9.1,23
5,10,8.2,23.7
5,11,9.1,27
5,12,8.3,24.8
5,13,8.1,24.9
5,14,9.7,27.7
5,15,8.5,29.3
5,16,8.6,26
5,17,8.5,24.5
5,18,8,21.9
5,19,8.7,20.9
5,20,8.3,19.6
5,21,8.5,20.9
5,22,8.3,21.3
5,23,8.8,25.9
5,24,9.1,25.9
6,1,8.7,27.7
6,2,8.2,22.9
6,3,8.2,21.6
6,4,8.5,21.1
6,5,8.2,22.4
6,6,8.5,23.6
6,7,8.4,22.7
6,8,8.5,22.1
6,9,9.2,19.2
6,10,8.6,22.4
6,11,8.1,22.3
6,12,8.1,22.3
6,13,8.2,24.1
6,14,8.6,23.8
6,15,8.5,20.7
6,16,8.5,20.7
6,17,9.1,22.1
6,18,8.3,20.5
6,19,8.3,21.5
6,20,7.4,18.8
6,21,8.6,20.6
6,22,9,20
6,23,8.6,20.9
6,24,8.8,30.7
6,25,9.3,30.7
7,1,8.4,25.5
7,2,8.3,27.9
7,3,8.2,22.7
7,4,8.1,22.6
7,5,8.1,24.4
7,6,8.9,22
7,7,8.5,23.7
7,8,8.2,16.5
7,9,8.2,21
7,10,8.6,23.2
7,11,8.6,24.3
7,12,8.7,22.8
7,13,8.4,22.2
7,14,8.6,22.4
7,15,8.4,21.7
7,16,8.7,21.2
7,17,8.4,20.8
7,18,8.4,17.8
7,19,8.7,16.5
7,20,8.4,16.3
7,21,7.5,15.6
7,22,8.4,17.2
7,23,8.9,30
7,24,9.2,30
8,1,8.7,31.7
8,2,9.1,30
8,3,8.7,29.2
8,4,9.3,25.5
8,5,8.1,25.6
8,6,8.5,26.9
8,7,7.9,24.2
8,8,8.8,26.5
8,9,9.3,24.2
8,10,8.1,22.4
8,11,8.1,23.8
8,12,8.6,25.5
8,13,8.6,29.2
8,14,8.2,28.6
8,15,8.4,28.6
8,16,8.3,27.5
8,17,8.1,26.3
8,18,8.2,22
8,19,7.5,22.5
8,20,8.2,22.2
8,21,8.2,23.9
8,22,8.3,24.3
8,23,8.8,34.9
8,24,8.9,34.9
9,1,8.6,34
9,2,8.5,28.9
9,3,8.2,26.6
9,4,8.2,25.8
9,5,8.5,24.4
9,6,8.4,27.5
9,7,8.7,25.3
9,8,8.8,26.7
9,9,8.2,25.4
9,10,7.5,22.2
9,11,8,23.6
9,12,8,23.6
9,13,8.2,25.8
9,14,8.2,23.3
9,15,8.4,20.8
9,16,8.3,19.5
9,17,8.5,21
9,18,8.6,20.7
9,19,8.1,18.2
9,20,8.3,20.7
9,21,8.2,19
9,22,7.8,19.5
9,23,8.5,25.4
9,24,8.6,25.4
10,1,8.5,24.5
10,2,8.8,22.3
10,3,8.8,21.8
10,4,8.3,18.7
10,5,8.3,19.3
10,6,8.2,20.3
10,7,8.3,20.2
10,8,8.9,20.6
10,9,8.6,25.4
10,10,8,26.6
10,11,9,24.9
10,12,8.9,25.9
10,13,8.5,24.2
10,14,8.6,22.8
10,15,8.5,22.6
10,16,8.9,24.5
10,17,9.5,52.4
10,18,9.7,52.4
